n,t,mx,z,norm
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,6.283185307179586232e+00,-9.850605726242065430e-01,9.850605726242065430e-01,1.000000000000000000e+00
2.000000000000000000e+00,1.256637061435917246e+01,9.717463254928588867e-01,9.717463254928588867e-01,1.000000000000000000e+00
3.000000000000000000e+00,1.884955592153875870e+01,-9.850498437881469727e-01,9.850498437881469727e-01,9.999999403953552246e-01
4.000000000000000000e+00,2.513274122871834493e+01,9.692345857620239258e-01,9.692345857620239258e-01,1.000000119209289551e+00
5.000000000000000000e+00,3.141592653589793116e+01,-9.850174188613891602e-01,9.850174188613891602e-01,9.999999403953552246e-01
6.000000000000000000e+00,3.769911184307751739e+01,9.649031758308410645e-01,9.649031758308410645e-01,1.000000000000000000e+00
7.000000000000000000e+00,4.398229715025710362e+01,-9.849634170532226562e-01,9.849634170532226562e-01,9.999999403953552246e-01
8.000000000000000000e+00,5.026548245743668986e+01,9.587764739990234375e-01,9.587764739990234375e-01,1.000000000000000000e+00
9.000000000000000000e+00,5.654866776461627609e+01,-9.848879575729370117e-01,9.848879575729370117e-01,9.999999403953552246e-01
1.000000000000000000e+01,6.283185307179586232e+01,9.508886933326721191e-01,9.508886933326721191e-01,1.000000000000000000e+00
1.100000000000000000e+01,6.911503837897544145e+01,-9.847906827926635742e-01,9.847906827926635742e-01,1.000000000000000000e+00
1.200000000000000000e+01,7.539822368615503478e+01,9.412817955017089844e-01,9.412817955017089844e-01,1.000000000000000000e+00
1.300000000000000000e+01,8.168140899333462812e+01,-9.846720695495605469e-01,9.846720695495605469e-01,1.000000000000000000e+00
1.400000000000000000e+01,8.796459430051420725e+01,9.300098419189453125e-01,9.300098419189453125e-01,1.000000000000000000e+00
1.500000000000000000e+01,9.424777960769378637e+01,-9.845319390296936035e-01,9.845319390296936035e-01,1.000000000000000000e+00
1.600000000000000000e+01,1.005309649148733797e+02,9.171323180198669434e-01,9.171323180198669434e-01,1.000000000000000000e+00
1.700000000000000000e+01,1.068141502220529730e+02,-9.843702316284179688e-01,9.843702316284179688e-01,1.000000000000000000e+00
1.800000000000000000e+01,1.130973355292325522e+02,9.027117490768432617e-01,9.027117490768432617e-01,1.000000000000000000e+00
1.900000000000000000e+01,1.193805208364121313e+02,-9.841867685317993164e-01,9.841867685317993164e-01,1.000000119209289551e+00
2.000000000000000000e+01,1.256637061435917246e+02,8.868268728256225586e-01,8.868268728256225586e-01,1.000000000000000000e+00
2.100000000000000000e+01,1.319468914507713180e+02,-9.839818477630615234e-01,9.839818477630615234e-01,9.999999403953552246e-01
2.200000000000000000e+01,1.382300767579508829e+02,8.695545792579650879e-01,8.695545792579650879e-01,1.000000119209289551e+00
2.300000000000000000e+01,1.445132620651304762e+02,-9.837554693222045898e-01,9.837554693222045898e-01,1.000000000000000000e+00
2.400000000000000000e+01,1.507964473723100696e+02,8.509777784347534180e-01,8.509777784347534180e-01,1.000000000000000000e+00
2.500000000000000000e+01,1.570796326794896629e+02,-9.835076332092285156e-01,9.835076332092285156e-01,1.000000000000000000e+00
2.600000000000000000e+01,1.633628179866692562e+02,8.311802148818969727e-01,8.311802148818969727e-01,1.000000000000000000e+00
2.700000000000000000e+01,1.696460032938488212e+02,-9.832382202148437500e-01,9.832382202148437500e-01,1.000000000000000000e+00
2.800000000000000000e+01,1.759291886010284145e+02,8.102580308914184570e-01,8.102580308914184570e-01,9.999999403953552246e-01
2.900000000000000000e+01,1.822123739082080078e+02,-9.829473495483398438e-01,9.829473495483398438e-01,1.000000000000000000e+00
3.000000000000000000e+01,1.884955592153875727e+02,7.883007526397705078e-01,7.883007526397705078e-01,1.000000000000000000e+00
3.100000000000000000e+01,1.947787445225671661e+02,-9.826349020004272461e-01,9.826349020004272461e-01,1.000000000000000000e+00
3.200000000000000000e+01,2.010619298297467594e+02,7.653996944427490234e-01,7.653996944427490234e-01,9.999999403953552246e-01
3.300000000000000000e+01,2.073451151369263528e+02,-9.823011159896850586e-01,9.823011159896850586e-01,1.000000000000000000e+00
3.400000000000000000e+01,2.136283004441059461e+02,7.416470050811767578e-01,7.416470050811767578e-01,1.000000000000000000e+00
3.500000000000000000e+01,2.199114857512855110e+02,-9.819458723068237305e-01,9.819458723068237305e-01,9.999999403953552246e-01
3.600000000000000000e+01,2.261946710584651044e+02,7.171409726142883301e-01,7.171409726142883301e-01,9.999999403953552246e-01
3.700000000000000000e+01,2.324778563656446977e+02,-9.815692901611328125e-01,9.815692901611328125e-01,1.000000000000000000e+00
3.800000000000000000e+01,2.387610416728242626e+02,6.919622421264648438e-01,6.919622421264648438e-01,1.000000000000000000e+00
3.900000000000000000e+01,2.450442269800038559e+02,-9.811711311340332031e-01,9.811711311340332031e-01,9.999999403953552246e-01
4.000000000000000000e+01,2.513274122871834493e+02,6.662074327468872070e-01,6.662074327468872070e-01,1.000000000000000000e+00
4.100000000000000000e+01,2.576105975943630142e+02,-9.807516336441040039e-01,9.807516336441040039e-01,1.000000000000000000e+00
4.200000000000000000e+01,2.638937829015426360e+02,6.399583816528320312e-01,6.399583816528320312e-01,1.000000000000000000e+00
4.300000000000000000e+01,2.701769682087222009e+02,-9.803109169006347656e-01,9.803109169006347656e-01,1.000000000000000000e+00
4.400000000000000000e+01,2.764601535159017658e+02,6.133023500442504883e-01,6.133023500442504883e-01,1.000000000000000000e+00
4.500000000000000000e+01,2.827433388230813875e+02,-9.798487424850463867e-01,9.798487424850463867e-01,1.000000000000000000e+00
4.600000000000000000e+01,2.890265241302609525e+02,5.863168239593505859e-01,5.863168239593505859e-01,9.999999403953552246e-01
4.700000000000000000e+01,2.953097094374405742e+02,-9.793652296066284180e-01,9.793652296066284180e-01,9.999999403953552246e-01
4.800000000000000000e+01,3.015928947446201391e+02,5.590773820877075195e-01,5.590773820877075195e-01,1.000000000000000000e+00
4.900000000000000000e+01,3.078760800517997041e+02,-9.788604974746704102e-01,9.788604974746704102e-01,1.000000000000000000e+00
5.000000000000000000e+01,3.141592653589793258e+02,5.316643714904785156e-01,5.316643714904785156e-01,1.000000000000000000e+00
5.100000000000000000e+01,3.204424506661588907e+02,-9.783347249031066895e-01,9.783347249031066895e-01,1.000000000000000000e+00
5.200000000000000000e+01,3.267256359733385125e+02,5.041334629058837891e-01,5.041334629058837891e-01,1.000000000000000000e+00
5.300000000000000000e+01,3.330088212805180774e+02,-9.777874946594238281e-01,9.777874946594238281e-01,1.000000000000000000e+00
5.400000000000000000e+01,3.392920065876976423e+02,4.765533208847045898e-01,4.765533208847045898e-01,1.000000000000000000e+00
5.500000000000000000e+01,3.455751918948772641e+02,-9.772191047668457031e-01,9.772191047668457031e-01,9.999999403953552246e-01
