n,t,mx,z,norm
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,6.283185307179586232e+00,-9.926807284355163574e-01,9.926807284355163574e-01,1.000000000000000000e+00
2.000000000000000000e+00,1.256637061435917246e+01,9.613462090492248535e-01,9.613462090492248535e-01,9.999999403953552246e-01
3.000000000000000000e+00,1.884955592153875870e+01,-9.926807880401611328e-01,9.926807880401611328e-01,1.000000000000000000e+00
4.000000000000000000e+00,2.513274122871834493e+01,9.613455533981323242e-01,9.613455533981323242e-01,1.000000000000000000e+00
5.000000000000000000e+00,3.141592653589793116e+01,-9.926807880401611328e-01,9.926807880401611328e-01,1.000000000000000000e+00
6.000000000000000000e+00,3.769911184307751739e+01,9.613446593284606934e-01,9.613446593284606934e-01,1.000000000000000000e+00
7.000000000000000000e+00,4.398229715025710362e+01,-9.926806688308715820e-01,9.926806688308715820e-01,1.000000000000000000e+00
8.000000000000000000e+00,5.026548245743668986e+01,9.613434672355651855e-01,9.613434672355651855e-01,1.000000000000000000e+00
9.000000000000000000e+00,5.654866776461627609e+01,-9.926807880401611328e-01,9.926807880401611328e-01,9.999999403953552246e-01
1.000000000000000000e+01,6.283185307179586232e+01,9.613417387008666992e-01,9.613417387008666992e-01,1.000000000000000000e+00
1.100000000000000000e+01,6.911503837897544145e+01,-9.926806688308715820e-01,9.926806688308715820e-01,9.999999403953552246e-01
1.200000000000000000e+01,7.539822368615503478e+01,9.613395929336547852e-01,9.613395929336547852e-01,1.000000000000000000e+00
1.300000000000000000e+01,8.168140899333462812e+01,-9.926806688308715820e-01,9.926806688308715820e-01,1.000000000000000000e+00
1.400000000000000000e+01,8.796459430051420725e+01,9.613371491432189941e-01,9.613371491432189941e-01,9.999999403953552246e-01
1.500000000000000000e+01,9.424777960769378637e+01,-9.926806688308715820e-01,9.926806688308715820e-01,1.000000000000000000e+00
1.600000000000000000e+01,1.005309649148733797e+02,9.613342285156250000e-01,9.613342285156250000e-01,1.000000119209289551e+00
1.700000000000000000e+01,1.068141502220529730e+02,-9.926806688308715820e-01,9.926806688308715820e-01,1.000000000000000000e+00
