n,t,mx,z,norm
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.999999999999997780e-01
1.000000000000000000e+00,6.283185307179586232e+00,-9.617998519354356013e-01,9.617998519354356013e-01,9.999999999999883427e-01
2.000000000000000000e+00,1.256637061435917246e+01,8.685395105419232431e-01,8.685395105419232431e-01,1.000000000000004441e+00
3.000000000000000000e+00,1.884955592153875870e+01,-7.410080291520507734e-01,7.410080291520507734e-01,9.999999999998622213e-01
4.000000000000000000e+00,2.513274122871834493e+01,6.162955385804855801e-01,6.162955385804855801e-01,9.999999999997788436e-01
5.000000000000000000e+00,3.141592653589793116e+01,-5.030843010975399876e-01,5.030843010975399876e-01,9.999999999995926592e-01
6.000000000000000000e+00,3.769911184307751739e+01,4.091742781868834000e-01,4.091742781868834000e-01,9.999999999995270450e-01
7.000000000000000000e+00,4.398229715025710362e+01,-3.349787941628723509e-01,3.349787941628723509e-01,9.999999999994317879e-01
8.000000000000000000e+00,5.026548245743668986e+01,2.772813264187440896e-01,2.772813264187440896e-01,9.999999999994505506e-01
9.000000000000000000e+00,5.654866776461627609e+01,-2.350616250097118387e-01,2.350616250097118387e-01,9.999999999994598765e-01
1.000000000000000000e+01,6.283185307179586232e+01,2.044639450646090761e-01,2.044639450646090761e-01,9.999999999995183853e-01
1.100000000000000000e+01,6.911503837897544145e+01,-1.832081506398781645e-01,1.832081506398781645e-01,9.999999999995661248e-01
1.200000000000000000e+01,7.539822368615503478e+01,1.692578599350670621e-01,1.692578599350670621e-01,9.999999999996356248e-01
1.300000000000000000e+01,8.168140899333462812e+01,-1.612323926902318461e-01,1.612323926902318461e-01,9.999999999996938005e-01
1.400000000000000000e+01,8.796459430051420725e+01,1.591390860926157336e-01,1.591390860926157336e-01,9.999999999997659650e-01
1.500000000000000000e+01,9.424777960769378637e+01,-1.626773710400008510e-01,1.626773710400008510e-01,9.999999999998254729e-01
1.600000000000000000e+01,1.005309649148733797e+02,1.718695579065422085e-01,1.718695579065422085e-01,9.999999999998562261e-01
1.700000000000000000e+01,1.068141502220529730e+02,-1.847069415757487398e-01,1.847069415757487398e-01,9.999999999999206191e-01
1.800000000000000000e+01,1.130973355292325522e+02,1.992367074278248440e-01,1.992367074278248440e-01,9.999999999999282796e-01
