n,t,mx,z,norm
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,6.283185307179586232e+00,-9.919950962066650391e-01,9.919950962066650391e-01,1.000000000000000000e+00
2.000000000000000000e+00,1.256637061435917246e+01,9.610356092453002930e-01,9.610356092453002930e-01,9.999999403953552246e-01
3.000000000000000000e+00,1.884955592153875870e+01,-9.919950962066650391e-01,9.919950962066650391e-01,1.000000000000000000e+00
4.000000000000000000e+00,2.513274122871834493e+01,9.610347747802734375e-01,9.610347747802734375e-01,9.999999403953552246e-01
5.000000000000000000e+00,3.141592653589793116e+01,-9.919950962066650391e-01,9.919950962066650391e-01,1.000000000000000000e+00
6.000000000000000000e+00,3.769911184307751739e+01,9.610335826873779297e-01,9.610335826873779297e-01,9.999999403953552246e-01
7.000000000000000000e+00,4.398229715025710362e+01,-9.919950962066650391e-01,9.919950962066650391e-01,1.000000000000000000e+00
8.000000000000000000e+00,5.026548245743668986e+01,9.610316753387451172e-01,9.610316753387451172e-01,1.000000000000000000e+00
9.000000000000000000e+00,5.654866776461627609e+01,-9.919950962066650391e-01,9.919950962066650391e-01,1.000000000000000000e+00
1.000000000000000000e+01,6.283185307179586232e+01,9.610294699668884277e-01,9.610294699668884277e-01,9.999999403953552246e-01
1.100000000000000000e+01,6.911503837897544145e+01,-9.919952154159545898e-01,9.919952154159545898e-01,1.000000000000000000e+00
1.200000000000000000e+01,7.539822368615503478e+01,9.610264301300048828e-01,9.610264301300048828e-01,1.000000000000000000e+00
1.300000000000000000e+01,8.168140899333462812e+01,-9.919952154159545898e-01,9.919952154159545898e-01,1.000000000000000000e+00
1.400000000000000000e+01,8.796459430051420725e+01,9.610229730606079102e-01,9.610229730606079102e-01,1.000000000000000000e+00
1.500000000000000000e+01,9.424777960769378637e+01,-9.919952154159545898e-01,9.919952154159545898e-01,1.000000000000000000e+00
1.600000000000000000e+01,1.005309649148733797e+02,9.610191583633422852e-01,9.610191583633422852e-01,1.000000000000000000e+00
1.700000000000000000e+01,1.068141502220529730e+02,-9.919952154159545898e-01,9.919952154159545898e-01,1.000000000000000000e+00
1.800000000000000000e+01,1.130973355292325522e+02,9.610146284103393555e-01,9.610146284103393555e-01,9.999999403953552246e-01
1.900000000000000000e+01,1.193805208364121313e+02,-9.919950962066650391e-01,9.919950962066650391e-01,1.000000000000000000e+00
2.000000000000000000e+01,1.256637061435917246e+02,9.610097408294677734e-01,9.610097408294677734e-01,9.999999403953552246e-01
2.100000000000000000e+01,1.319468914507713180e+02,-9.919950962066650391e-01,9.919950962066650391e-01,1.000000000000000000e+00
2.200000000000000000e+01,1.382300767579508829e+02,9.610044956207275391e-01,9.610044956207275391e-01,1.000000000000000000e+00
2.300000000000000000e+01,1.445132620651304762e+02,-9.919950962066650391e-01,9.919950962066650391e-01,1.000000119209289551e+00
2.400000000000000000e+01,1.507964473723100696e+02,9.609982371330261230e-01,9.609982371330261230e-01,1.000000000000000000e+00
2.500000000000000000e+01,1.570796326794896629e+02,-9.919950962066650391e-01,9.919950962066650391e-01,1.000000000000000000e+00
2.600000000000000000e+01,1.633628179866692562e+02,9.609916210174560547e-01,9.609916210174560547e-01,1.000000000000000000e+00
2.700000000000000000e+01,1.696460032938488212e+02,-9.919950962066650391e-01,9.919950962066650391e-01,1.000000000000000000e+00
2.800000000000000000e+01,1.759291886010284145e+02,9.609845876693725586e-01,9.609845876693725586e-01,9.999999403953552246e-01
2.900000000000000000e+01,1.822123739082080078e+02,-9.919950962066650391e-01,9.919950962066650391e-01,1.000000000000000000e+00
3.000000000000000000e+01,1.884955592153875727e+02,9.609769582748413086e-01,9.609769582748413086e-01,1.000000000000000000e+00
3.100000000000000000e+01,1.947787445225671661e+02,-9.919949769973754883e-01,9.919949769973754883e-01,1.000000119209289551e+00
3.200000000000000000e+01,2.010619298297467594e+02,9.609688520431518555e-01,9.609688520431518555e-01,1.000000000000000000e+00
3.300000000000000000e+01,2.073451151369263528e+02,-9.919949769973754883e-01,9.919949769973754883e-01,1.000000119209289551e+00
3.400000000000000000e+01,2.136283004441059461e+02,9.609600305557250977e-01,9.609600305557250977e-01,9.999999403953552246e-01
3.500000000000000000e+01,2.199114857512855110e+02,-9.919950962066650391e-01,9.919950962066650391e-01,1.000000000000000000e+00
3.600000000000000000e+01,2.261946710584651044e+02,9.609507918357849121e-01,9.609507918357849121e-01,1.000000000000000000e+00
3.700000000000000000e+01,2.324778563656446977e+02,-9.919952154159545898e-01,9.919952154159545898e-01,9.999999403953552246e-01
3.800000000000000000e+01,2.387610416728242626e+02,9.609409570693969727e-01,9.609409570693969727e-01,9.999999403953552246e-01
3.900000000000000000e+01,2.450442269800038559e+02,-9.919950962066650391e-01,9.919950962066650391e-01,1.000000119209289551e+00
4.000000000000000000e+01,2.513274122871834493e+02,9.609305262565612793e-01,9.609305262565612793e-01,1.000000000000000000e+00
4.100000000000000000e+01,2.576105975943630142e+02,-9.919950962066650391e-01,9.919950962066650391e-01,1.000000000000000000e+00
