n,t,mx,z,norm
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,6.283185307179586232e+00,-9.909572601318359375e-01,9.909572601318359375e-01,1.000000000000000000e+00
2.000000000000000000e+00,1.256637061435917246e+01,9.669119715690612793e-01,9.669119715690612793e-01,1.000000119209289551e+00
3.000000000000000000e+00,1.884955592153875870e+01,-9.909572005271911621e-01,9.909572005271911621e-01,1.000000119209289551e+00
4.000000000000000000e+00,2.513274122871834493e+01,9.668788909912109375e-01,9.668788909912109375e-01,1.000000119209289551e+00
5.000000000000000000e+00,3.141592653589793116e+01,-9.909572005271911621e-01,9.909572005271911621e-01,1.000000000000000000e+00
6.000000000000000000e+00,3.769911184307751739e+01,9.668211936950683594e-01,9.668211936950683594e-01,1.000000119209289551e+00
7.000000000000000000e+00,4.398229715025710362e+01,-9.909572601318359375e-01,9.909572601318359375e-01,1.000000000000000000e+00
8.000000000000000000e+00,5.026548245743668986e+01,9.667393565177917480e-01,9.667393565177917480e-01,1.000000119209289551e+00
9.000000000000000000e+00,5.654866776461627609e+01,-9.909572005271911621e-01,9.909572005271911621e-01,1.000000000000000000e+00
1.000000000000000000e+01,6.283185307179586232e+01,9.666330218315124512e-01,9.666330218315124512e-01,1.000000000000000000e+00
1.100000000000000000e+01,6.911503837897544145e+01,-9.909572601318359375e-01,9.909572601318359375e-01,1.000000000000000000e+00
1.200000000000000000e+01,7.539822368615503478e+01,9.665020704269409180e-01,9.665020704269409180e-01,1.000000000000000000e+00
1.300000000000000000e+01,8.168140899333462812e+01,-9.909571409225463867e-01,9.909571409225463867e-01,1.000000119209289551e+00
1.400000000000000000e+01,8.796459430051420725e+01,9.663462042808532715e-01,9.663462042808532715e-01,1.000000000000000000e+00
1.500000000000000000e+01,9.424777960769378637e+01,-9.909571409225463867e-01,9.909571409225463867e-01,1.000000000000000000e+00
1.600000000000000000e+01,1.005309649148733797e+02,9.661666750907897949e-01,9.661666750907897949e-01,1.000000000000000000e+00
1.700000000000000000e+01,1.068141502220529730e+02,-9.909570217132568359e-01,9.909570217132568359e-01,1.000000000000000000e+00
1.800000000000000000e+01,1.130973355292325522e+02,9.659628868103027344e-01,9.659628868103027344e-01,1.000000000000000000e+00
1.900000000000000000e+01,1.193805208364121313e+02,-9.909569621086120605e-01,9.909569621086120605e-01,1.000000000000000000e+00
2.000000000000000000e+01,1.256637061435917246e+02,9.657342433929443359e-01,9.657342433929443359e-01,1.000000000000000000e+00
2.100000000000000000e+01,1.319468914507713180e+02,-9.909567832946777344e-01,9.909567832946777344e-01,1.000000000000000000e+00
2.200000000000000000e+01,1.382300767579508829e+02,9.654816389083862305e-01,9.654816389083862305e-01,1.000000000000000000e+00
2.300000000000000000e+01,1.445132620651304762e+02,-9.909567236900329590e-01,9.909567236900329590e-01,1.000000000000000000e+00
2.400000000000000000e+01,1.507964473723100696e+02,9.652053117752075195e-01,9.652053117752075195e-01,1.000000119209289551e+00
2.500000000000000000e+01,1.570796326794896629e+02,-9.909566640853881836e-01,9.909566640853881836e-01,1.000000000000000000e+00
2.600000000000000000e+01,1.633628179866692562e+02,9.649038314819335938e-01,9.649038314819335938e-01,1.000000119209289551e+00
2.700000000000000000e+01,1.696460032938488212e+02,-9.909564852714538574e-01,9.909564852714538574e-01,1.000000000000000000e+00
2.800000000000000000e+01,1.759291886010284145e+02,9.645786285400390625e-01,9.645786285400390625e-01,1.000000000000000000e+00
2.900000000000000000e+01,1.822123739082080078e+02,-9.909563064575195312e-01,9.909563064575195312e-01,1.000000000000000000e+00
3.000000000000000000e+01,1.884955592153875727e+02,9.642292857170104980e-01,9.642292857170104980e-01,1.000000000000000000e+00
3.100000000000000000e+01,1.947787445225671661e+02,-9.909562468528747559e-01,9.909562468528747559e-01,1.000000000000000000e+00
3.200000000000000000e+01,2.010619298297467594e+02,9.638554453849792480e-01,9.638554453849792480e-01,1.000000000000000000e+00
3.300000000000000000e+01,2.073451151369263528e+02,-9.909561872482299805e-01,9.909561872482299805e-01,1.000000000000000000e+00
3.400000000000000000e+01,2.136283004441059461e+02,9.634568095207214355e-01,9.634568095207214355e-01,1.000000119209289551e+00
